State/County/City,Policy/Inventory Description,Link to Inventory or Relevant Policy,Link to Relevant Policy (if any),Other Notes
"Chicago, IL",(Citywide Data Collection Project),http://www.cityofchicago.org/dam/city/depts/mayor/Press%20Room/Press%20Releases/2012/February/2.15.12Data.pdf,http://www.cityofchicago.org/city/en/narr/foia/open_data_executiveorder.html,
"Chicago, IL",Data Dictionary,http://datadictionary.cityofchicago.org/,http://www.cityofchicago.org/city/en/narr/foia/open_data_executiveorder.html,
Minnesota ,INDEX: Department of Employment and Economic Development,http://www.positivelyminnesota.com/About_Us/Notices_Announcements/PDFs/Data_Inventory.pdf,n/a,
Minnestota ,INDEX: Bureau of Criminal Apprehension,https://dps.mn.gov/divisions/bca/Documents/Data%20Inventory%20080112.pdf,n/a,
"New York, NY",POLICY: NYC DOITT accompanying City Policies to the Local Law 11 of 2012 ,https://data.cityofnewyork.us/City-Government/NYC-Open-Data-Plan/v475-8jcj,http://cityofnewyork.github.io/opendatatsm/LocalLaw11of2012.html,http://sunlightfoundation.com/blog/2013/10/11/nycs-plan-to-release-all-ish-of-their-data/
"Philadelphia, PA",INDEX: Conducted by Philadpehia's CDO in conjunction with (but not mandated by) Philadelphia's Open Data Executive Order,http://cityofphiladelphia.github.io/slash-data/census/ ,https://gist.github.com/PhillyCDO/3623582,
"San Francisco, CA",POLICY: San Francisco Administrative Code 22.D,http://sfbos.org/ftp/uploadedfiles/bdsupvrs/committees/materials/gao_032813_121017.pdf,http://sfbos.org/ftp/uploadedfiles/bdsupvrs/committees/materials/gao_032813_121017.pdf,
