State/Municipality/Agency,Link to Portal,Link to Relevant Policy (if any),Other Notes
"Chicago, IL",http://www.cityofchicago.org/city/en/dataset/foia_request_logs_by_dept.html,n/a,
Chicago Public Schools,http://cps.edu/About_CPS/Departments/Law/Pages/FOIARequest.aspx,n/a,
"Cook County, IL",https://datacatalog.cookcountyil.gov/Finance-Administration/Freedom-Of-Information-Act-FOIA-Log-Office-of-the-/3far-66rz,n/a,Not updated since 2012
Illinois State Board of Education,http://www.isbe.net/foia/default.htm,n/a,
"Montgomery County, MD",https://data.montgomerycountymd.gov/Community/Maryland-Public-Information-Act-MPIA-Request-Respo/99ya-kjjr,http://www6.montgomerycountymd.gov/content/council/pdf/agenda/cm/2012/121126/20121126_GO2.pdf,
"Oakland, CA",http://records.oaklandnet.com/landing,n/a,
"Washington, DC",https://foia-dc.gov/palMain.aspx,n/a,
